,제목,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration,Content Rating,Rating,Genre,Tags,Director,Screenwriter,Cast,Production companies,Rank,시청률,click,장르
193,너와 나의 경찰수업,"Jan 26, 2022 - Mar 16, 2022",2022,Hulu,Wednesday,16,60 min.,15+ - Teens 15 or older,8.3,"Romance, Life, Youth, Drama ","Police Academy, University, Campus Setting, Hardship, Coming Of Age, Student, Student-Teacher Relationship, Teacher Supporting Character, Chasing A Dream, Ambition","Kim Byung Soo, Kim Jung Wook",Lee Ha Na,"Kang Daniel, Chae Soo Bin, Lee Shin Young, Park Yoo Na, Park Sung Joon, Min Do Hee","Studio&NEW, The Walt Disney Company (Korea)",#194,,70000,Historical
194,여신강림,"Dec 9, 2020 - Feb 4, 2021",2020,tvN,"Wednesday, Thursday",16,1 hr. 15 min.,15+ - Teens 15 or older,8.3,"Comedy, Romance, Youth, Drama","Adapted From A Webtoon, Makeover, Popular Male Lead, Beauty, High School, Hidden Identity, Beauty Standards, Nice Female Lead, Smart Male Lead, Transformation",Kim Sang Hyub,Lee Shi Eun,"Moon Ga Young, Cha Eun Woo, Hwang In Youp, Park Yoo Na, Jang Hye Jin, Park Ho San","Bon Factory Worldwide, Studio N",#195,4.60%,490000,Comedy
195,오 나의 귀신님,"Jul 3, 2015 - Aug 22, 2015",2015,tvN,"Friday, Saturday",16,60 min.,13+ - Teens 13 or older,8.3,"Thriller, Comedy, Romance, Supernatural","Boss-Employee Relationship, Identity Swap, Hardworking Male Lead, Successful Male Lead, Ghost-seeing Female Lead, Sismance, Love Triangle, Cold Man/Warm Woman, Female Chases Male First, Shamanism",Yoo Je Won,Yang Hee Seung,"Park Bo Young, Kim Seul Gi, Jo Jung Suk, Im Joo Hwan, Kang Ki Young, Kwak Shi Yang",Chorokbaem Media,#196,7.30%,560000,Comedy
196,신의 선물 - 14일,"Mar 3, 2014 - Apr 22, 2014",2014,SBS,"Monday, Tuesday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,"Thriller, Mystery, Drama, Supernatural","Time Travel, Screenwriter Female Lead, Detective Fiction, Investigator Male Lead, Serial Killings, Misfortune, Injury, Conflict, Wrongfully Accused, Stalking",Lee Dong Hun,Choi Ran,"Lee Bo Young, Cho Seung Woo, Kim Tae Woo, Kim Yoo Bin, Jung Gyu Woon, Kim Jin Hee",Content K,#197,10.60%,310000,Thriller
197,마음의 소리,"Nov 7, 2016 - Nov 28, 2016",2016,Naver TV Cast,"Monday, Thursday",20,15 min.,15+ - Teens 15 or older,8.3,"Comedy, Life, Sitcom","Mother-Son Relationship, Father-Son Relationship, Adapted From A Webtoon, Short Length Series, Web Series, Slow Romance, Family",Ha Byung Hoon,Kwon Hye Joo,"Lee Kwang Soo, Kim Dae Myung, Jung So Min, Kim Byung Ok, Kim  Mi Kyung, Park Sang Hoon","Kross Pictures, The Sound of Your Heart SPC",#198,5.70%,130000,Mystery
198,검은 태양,"Sep 17, 2021 - Oct 23, 2021",2021,MBC,"Friday, Saturday",12,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"Action, Thriller, Mystery, Crime","Badass Male Lead, Antihero, Smart Male Lead, National Intelligence Service, Strong Male Lead, Espionage, Investigation, Suspense, Drama, Agent Male Lead",Kim Sung Yong,Park Seok Ho,"Namkoong Min, Park Ha Sun, Kim Ji Eun, Jang Young Nam, Kim Jong Tae, Kim Do Hyun","MBC, 3Mana Creative, Ateod Co. Ltd.",#199,9.80%,698,Romance
199,우아한 가,"Aug 21, 2019 - Oct 17, 2019",2019,MBN,"Wednesday, Thursday",16,1 hr. 20 min.,15+ - Teens 15 or older,8.3,"Thriller, Mystery, Drama, Melodrama","Strong Female Lead, Smart Female Lead, Grandpa-Granddaughter Relationship, Badass Female Lead, Calm Male Lead, Rich Female Lead, Family Secret, Murder, Slow Burn Romance, Slight Romance",Han Cheol Soo,"Kwon Min Soo, Park Min Kyung","Im Soo Hyang, Lee Jang Woo, Bae Jong Ok, Lee Kyu Han, Kim Jin Woo, Jeon Jin Seo",Samhwa Networks,#200,8.50%,640000,Romance
200,구가의 서,"Apr 8, 2013 - Jun 25, 2013",2013,MBC,"Monday, Tuesday",24,1 hr. 5 min.,15+ - Teens 15 or older,8.3,"Action, Historical, Romance, Fantasy ","Interspecies Romance, Nine-tailed Fox, Strong Female Lead, Superhuman Strength, Revenge, Cross-Dressing, Badass Female Lead, Eccentric Male Lead, Love Triangle, Shamanism","Shin Woo Cheol, Kim Jung Hyun",Kang Eun Kyung,"Lee Seung Gi, Bae Suzy, Lee Sung Jae, Yoo Yeon Seok, Lee Yoo Bi, Sung Joon",Samhwa Networks,#201,19.50%,10000,Thriller
201,사의 찬미,"Nov 27, 2018 - Dec 4, 2018",2018,"Netflix, SBS","Monday, Tuesday",6,35 min.,15+ - Teens 15 or older,8.3,"Music, Historical, Romance, Melodrama","Forbidden Love, Based On True Story, Biographical, Miniseries, Star Crossed Lovers, Rich Male Lead, Disapproving Parent, Japanese Colonial Rule, Arranged Marriage, Nice Male Lead",Park Soo Jin,Jo Soo Jin,"Lee Jong Suk, Shin Hye Sun, Park Seon Im, Lee Ji Hoon, Han Eun Seo, Kim Kang Hyun",The Story Works,#202,7.80%,230000,Comedy
202,주몽,"May 15, 2006 - Mar 6, 2007",2006,MBC,"Monday, Tuesday",81,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"Adventure, Historical, Romance, Drama","Leadership, Strong Female Lead, Power Struggle, Goguryeo Dynasty, War, Jumong, Father-Son Relationship, Archery, Royalty, Han Dynasty","Lee Joo Hwan, Kim Keun Hong","Choi Wan Kyu, Jung Hyung Soo","Song Il Gook, Han Hye Jin, Kim Seung Soo, Jeon Kwang Ryul, Oh Yeon Soo, Song Ji Hyo","Chorokbaem Media, Olive9",#203,49.70%,810000,Action
203,뱀파이어 검사 2,"Sep 9, 2012 - Nov 18, 2012",2012,OCN,Sunday,11,1 hr. 5 min.,15+ - Teens 15 or older,8.3,"Action, Mystery, Drama, Supernatural","Supernatural Power, Police Procedural, Death, Investigation, Murder, Violence, Vampire Fiction, Prosecutor Male Lead, Torture, Kidnapping",Yoo Seon Dong,"Han Jung Hoon, Kang Eun Seon","Yeon Jung Hoon, Lee Young Ah, Lee Won Jong, Lee Kyung Young, Kim Joo Young, Gong Jung Hwan",CMG Chorok Stars,#204,,180000,Action
204,못난이 주의보,"May 20, 2013 - Nov 29, 2013",2013,SBS,"Monday, Tuesday, Wednesday, Thursday, Friday",133,35 min.,15+ - Teens 15 or older,8.3,"Business, Romance, Melodrama","Rich Woman/Poor Man, Nice Male Lead, Strong Female Lead, Female Chases Male First, Bromance, Unexpected Pregnancy, Steamy Kiss, Multiple Couples, Poor Male Lead, Ex-Convict Male Lead","Shin Yoon Sub, Min Yeon Hong",Jung Ji Woo,"Im Joo Hwan, Kang So Ra, Kang  Byul, Choi  Tae Joon, Kim Seol Hyun, Shin So Yool","Shinyoung E&C Group, Human Nature",#205,12.40%,150000,Thriller
205,미스티,"Feb 2, 2018 - Mar 24, 2018",2018,jTBC,"Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"Thriller, Mystery, Romance, Melodrama","Strong Female Lead, Badass Female Lead, Infidelity, Murder, Smart Male Lead, Misunderstanding, Suspense, Eccentric Female Lead, Marriage, Calm Female Lead",Mo Wan Il,Je In,"Kim Nam Joo, Ji Jin Hee, Jeon Hye Jin, Im Tae Kyung, Go Jun, Jin Ki Joo",Story & Pictures Media,#206,8.50%,170000,Romance
206,보이스 3: 공범들의 도시,"May 11, 2019 - Jun 30, 2019",2019,OCN,"Saturday, Sunday",16,60 min.,15+ - Teens 15 or older,8.3,"Thriller, Mystery, Psychological, Crime","Strong Female Lead, Leadership, Tough Male Lead, Investigation, Calm Female Lead, Teamwork, Impulsive Male Lead, Smart Female Lead, Smart Male Lead, Human Trafficking",Nam Ki Hoon,Ma Jin Won,"Lee  Ha Na, Lee Jin Wook, Son Eun Seo, Kim Woo Seok, Kim Joong Ki, Song Boo Geon",Content K,#207,,190000,Romance
207,자백,"Mar 23, 2019 - May 12, 2019",2019,tvN,"Saturday, Sunday",16,60 min.,15+ - Teens 15 or older,8.3,"Thriller, Mystery, Law, Drama","Corruption, Wrongfully Accused, Nice Male Lead, Bromance, Smart Male Lead, Murder, Illness, Calm Male Lead, Hardworking Male Lead, Heart Transplant","Kim Chul Gyu, Yoon Hyun Gi",Im Hee Chul,"Lee Jun Ho, Shin Hyun Bin, Yoo Jae Myung, Nam Ki Ae, Yoon Gyung Ho, Ryu Kyung Soo",Ace Factory,#208,6.30%,760000,Mystery
208,어게인 마이 라이프,"Apr 8, 2022 - May 28, 2022",2022,"SBS, ViuTV","Friday, Saturday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,"Mystery, Law, Drama, Fantasy","Time Travel, Fight For Justice, Death, Prosecutor Male Lead, Second Chance, Strong Male Lead, Corruption, Violence, Investigation, Bullied Male Lead","Han Cheol Soo, Kim Yong Min","Lee Byung Hun, Kim Yool, J","Lee Joon Gi, Lee Kyung Young, Kim Ji Eun, Jung Sang Hoon, Choi Kwang, Hong Bi Ra","Samhwa Networks, Kross Pictures",#209,12.00%,450000,Romance
209,종이의 집: 공동경제구역,24-Jun-22,2022,Netflix,Friday,6,1 hr. 10 min.,18+ Restricted (violence & profanity),8.3,"Action, Thriller, Mystery, Crime","Hidden Identity, Hostage Situation, Reunification Of Korea, Multiple Mains, Sexual Content, Violence, Murder, Heist, Nudity, Strong Female Lead",Kim Hong Seon,"Ryu Yong Jae, Kim Hwan Chae, Choi Sung Joon","Yoo Ji Tae, Park Hae Soo, Jeon Jong Seo, Lee Won Jong, Kim Ji Hoon, Jang Yoon Ju","BH Entertainment, Zium Content",#210,,790000,Mystery
210,너도 인간이니?,"Jun 4, 2018 - Aug 7, 2018",2018,KBS2,"Monday, Tuesday",36,35 min.,15+ - Teens 15 or older,8.3,"Comedy, Romance, Sci-Fi, Fantasy","Robot, Nice Male Lead, Artificial Intelligence, Interspecies Romance, Smart Male Lead, Identity Swap, Android, Strong Male Lead, Hidden Identity, Cheerful Male Lead",Cha Young Hoon,Jo Jung Joo,"Seo Kang Joon, Gong Seung Yeon, Lee Joon Hyuk, Park Hwan Hee, Kim Sung Ryung, Yoo Oh Sung",KBS Media,#211,9.90%,50000,Romance
211,런 온,"Dec 16, 2020 - Feb 4, 2021",2020,"jTBC, Netflix","Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"Romance, Life, Drama, Sports","Strong Female Lead, Calm Male Lead, Quirky Humour, Multiple Couples, Nice Male Lead, Hardworking Female Lead, Smart Female Lead, Eccentric Male Lead, Famous Male Lead, Father-Son Relationship",Lee Jae Hoon,Park Shi Hyun,"Yim Si Wan, Shin Se Kyung, Choi Soo Young, Kang Tae Oh, Park Young Gyu, Cha Hwa Yun","MAYS Entertainment, Zium Content",#212,3.80%,120000,Psychological
212,하늘에서 내리는 일억 개의 별,"Oct 3, 2018 - Nov 22, 2018",2018,tvN,"Thursday, Wednesday",16,1 hr. 4 min.,15+ - Teens 15 or older,8.3,"Thriller, Mystery, Romance, Drama","Antihero, Psychological, Murder, Tragic Past, Smart Male Lead, Investigation, Eccentric Male Lead, Cold Man/Warm Woman, Orphan Male Lead, Melodrama",Yoo Je Won,Song Hye Jin,"Seo In Guk, Jung So Min, Park Sung Woong, Seo Eun Soo, Go Min Si, Jang Young Nam","Fuji Television, Studio Dragon, The Unicorn",#213,4.00%,2320000,Action
213,번외수사,"May 23, 2020 - Jun 28, 2020",2020,OCN,"Saturday, Sunday",12,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"Action, Mystery, Comedy, Drama","Investigation, Strong Female Lead, Teamwork, Smart Female Lead, Multiple Mains, Eccentric Female Lead, Eccentric Male Lead, Police Department Setting, Detective Fiction, Detective Male Lead",Kang Hyo Jin,"Lee Yoo Jin, Jung Yoon Sun","Cha Tae Hyun, Lee Sun Bin, Jung Sang Hoon, Yoon Gyung Ho, Ji Seung Hyun, Im Chul Hyung",Zium Content,#214,4.40%,180000,Action
214,파수꾼,"May 22, 2017 - Jul 11, 2017",2017,MBC,"Monday, Tuesday",32,35 min.,15+ - Teens 15 or older,8.3,"Action, Thriller, Mystery, Law, Crime","Revenge, Strong Female Lead, Corruption, Tragic Past, Teamwork, Investigation, Smart Male Lead, Attempted Murder, Lying, Policewoman","Song Hyung Suk, Park Seung Woo",Kim Soo Eun,"Lee Si Young, Kim Young Kwang, Kim Tae Hoon, Kim Seul Gi, Key, Choi Moo Sung","Gallery 9, Nano Chem Tech",#215,10.20%,1510000,Friendship
215,내 뒤에 테리우스,"Sep 27, 2018 - Nov 15, 2018",2018,MBC,"Wednesday, Thursday",32,35 min.,15+ - Teens 15 or older,8.3,"Action, Mystery, Comedy, Romance","Corruption, Hidden Identity, Tragic Past, Teamwork, Spy Male Lead, Undercover Agent Male Lead, Character Development, Strong Female Lead, Single Mother Female Lead, Nice Male Lead","Park Sang Hoon, Park Sang Woo",Oh Ji Young,"So Ji Sub, Jung In Sun, Son Ho Jun, Im Se Mi, Kim Gun Woo, Ok Ye Rin","MBC, Mong-jak-so Company",#216,10.50%,47000,Friendship
216,하이에나,"Feb 21, 2020 - Apr 11, 2020",2020,"Netflix, SBS","Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"Mystery, Comedy, Law, Romance","Law Firm, Badass Female Lead, Investigation, Love/Hate Relationship, Corruption, Sismance, Sly Female Lead, Ambition, Deception, Rivalry",Jang Tae Yoo,Kim Roo Ri,"Joo Ji Hoon, Kim Hye Soo, Lee Kyung Young, Kim Ho Jung, Song Young Kyu, Jun Suk Ho",KeyEast,#217,,2390000,Business
217,진심이 닿다,"Feb 6, 2019 - Mar 28, 2019",2019,tvN,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"Comedy, Law, Romance, Drama","Famous Lead/Common Lead, Law Firm, Hardworking Male Lead, Hardworking Female Lead, Nice Male Lead, Calm Male Lead, Opposites Attract, Smart Male Lead, Smart Female Lead, Naive Female Lead",Park Joon Hwa,"Choi Bo Rim, Lee Myung Sook","Lee Dong Wook, Yoo In Na, Lee Sang Woo, Son Sung Yoon, Oh Jung Se, Shim Hyung Tak","Mega Monster, Zium Content",#218,4.70%,850000,Historical
218,앵그리맘,"Mar 18, 2015 - May 7, 2015",2015,MBC,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"Comedy, Drama, Melodrama","Independent Female Lead, Mother-Daughter Relationship, High School, Corruption, Strong Female Lead, School Bullying, Double Identity, Sexual Harassment, Sexual Assault, Smart Female Lead",Ashbun,Kim Ban Di,"Kim Hee Sun, Kim Yoo Jung, Ji Hyun Woo, Kim Ji Soo, Baro, Kim Tae Hoon",,#219,9.90%,450000,Law
219,웰컴2라이프,"Aug 5, 2019 - Sep 24, 2019",2019,MBC,"Monday, Tuesday",32,35 min.,15+ - Teens 15 or older,8.3,"Comedy, Law, Romance, Fantasy","Successful Male Lead, Smart Male Lead, Strong Female Lead, Parallel Dimension, Second Chance, Marriage, Father-Daughter Relationship, Death, Law Firm, Police Department Setting","Kim Keun Hong, Shim So Yeon",Yoo Hee Kyung,"Rain, Im Ji Yeon, Kwak Shi Yang, Seo Hye Rin, Park Yoon Young, Son Byung Ho",Kim Jong-hak Production,#220,6.80%,650000,Business
220,수상한 파트너,"May 10, 2017 - Jul 13, 2017",2017,SBS,"Wednesday, Thursday",40,30 min.,15+ - Teens 15 or older,8.3,"Thriller, Comedy, Law, Romance","Cohabitation, Nice Male Lead, Hardworking Female Lead, Smart Male Lead, Tragic Past, Nice Female Lead, Ex-girlfriend Comes Back, Steamy Kiss, Strong Female Lead, Wrongfully Accused",Park Seon Ho,Kwon Ki Young,"Ji Chang Wook, Nam Ji Hyun, Choi  Tae Joon, Kwon Na Ra, Dong Ha, Kim Ye Won",The Story Works,#221,10.50%,260000,Psychological
221,마인:MINE,"May 8, 2021 - Jun 27, 2021",2021,"Netflix, tvN","Saturday, Sunday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"Thriller, Mystery, Drama","Rich Female Lead, Strong Female Lead, Rich Family, Multiple Couples, Sibling Rivalry, Smart Female Lead, Ambition, Hidden Identity, Psychological, Big Family",Lee Na Jung,Baek Mi Kyung,"Lee Bo Young, Kim Seo Hyung, Ok Ja Yeon, Lee Hyun Wook, Cha Hak Yeon, Jung Yi Seo",JS Pictures,#222,10.50%,140000,Romance
222,날씨가 좋으면 찾아가겠어요,"Feb 24, 2020 - Apr 21, 2020",2020,"jTBC, Viki","Monday, Tuesday",16,60 min.,15+ - Teens 15 or older,8.3,"Romance, Life, Drama, Melodrama","Nice Male Lead, Healing, Secret Crush, Slow Burn Romance, Adapted From A Novel, Steamy Kiss, Return To Hometown, Calm Male Lead, Bromance, Flashback To Past",Han Ji Seung,Han Ga Ram,"Park Min Young, Seo Kang Joon, Lee Jae Wook, Kim Hwan Hee, Moon Jung Hee, Im Se Mi",Ace Factory,#223,2.70%,33000,Romance
223,무법 변호사,"May 12, 2018 - Jul 1, 2018",2018,tvN,"Saturday, Sunday",16,1 hr. 6 min.,15+ - Teens 15 or older,8.3,"Action, Thriller, Law, Romance","Smart Female Lead, Strong Female Lead, Revenge, Mixed Martial Arts, Male Chases Female First, Tragic Past, Corruption, Badass Female Lead, Teamwork, Calm Female Lead",Kim Jin Min,Yoon Hyun Ho,"Lee Joon Gi, Seo Yea Ji, Lee Hye Young, Choi Min Soo, Lee Ro Woon, Lee Dae Yeon",Logos Film,#224,8.90%,150000,Action
224,크레이지 러브,"Mar 7, 2022 - Apr 26, 2022",2022,KBS2,"Monday, Tuesday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,"Comedy, Romance, Drama","Enemies To Lovers, Boss-Employee Relationship, Secretary Female Lead, Steamy Kiss, Narcissistic Male Lead, Slow Burn Romance, Love/Hate Relationship, Hardworking Female Lead, Rich Male Lead, Fake Relationship",Kim Jung Hyun,Kim Bo Gyeom,"Kim Jae Wook, Krystal Jung, Ha Joon, Yoo In Young, Im Won Hee, Park Han Sol",Arc Media,#225,4.60%,970000,Action
225,왓쳐,"Jul 6, 2019 - Aug 25, 2019",2019,OCN,"Saturday, Sunday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,"Thriller, Mystery, Drama, Political","Smart Male Lead, Smart Female Lead, Tragic Past, Corruption, Psychological, Trauma, Nice Male Lead, Badass Male Lead, Character Development, Detective Fiction",Ahn Gil Ho,Han Sang Woon,"Seo Kang Joon, Han Seok Kyu, Kim Hyun Joo, Park Joo Hee, Heo Sung Tae, Joo Jin Mo",Studio Dragon,#226,6.60%,620000,Thriller
226,아이가 다섯,"Feb 20, 2016 - Aug 21, 2016",2016,KBS2,"Saturday, Sunday",54,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"Comedy, Romance, Drama, Melodrama","Motherhood, Strong Female Lead, Multiple Couples, Nice Male Lead, Workplace Setting, Best Friends' Relationship, Ex-spouse Relationship, Death Of A Mother, Half-brothers' Relationship, Half-sisters' Relationship",Kim Jung Gyu,Jung Hyun Jung,"Ahn Jae Wook, So Yoo Jin, Sung Hoon, Shin Hye Sun, Shim Hyung Tak, Shim Yi Young",AStory,#227,32.80%,410000,Action
227,아만자,"Sep 1, 2020 - Nov 3, 2020",2020,Daum Kakao TV,Tuesday,10,15 min.,15+ - Teens 15 or older,8.3,"Adventure, Life, Fantasy, Melodrama","Cancer, Dream World, Mixed Live Action-Animation, Tearjerker, Terminal Illness, Adapted From A Webtoon, Web Series, Short Length Series, Supportive Girlfriend, Mental Illness",Han Ji Won,Kwak Jae Min,"Kim Ji Soo, Lee Seol, Oh Hyun Kyung, Yoo Seung Mok, Lee Jong Won, Shin Joo Hwan","Lezhin Studio, Production KEZR",#228,,350000,Thriller
228,새빛남고 학생회,"Jun 29, 2021 - Aug 19, 2021",2021,Viki,"Tuesday, Thursday",16,24 min.,13+ - Teens 13 or older,8.3,"Romance, Youth, Drama","Gay Romance, LGBTQ+, School, School Club, First Love, High School, Secret Crush, All-Boys School, Nice Male Lead, Love Triangle",Lee Yoo Yeon,Lee Ji Eum,"Lee Sae On, Kang Yoo Seok, Choe Chan Yi, Go Woo Jin, Lee Ki Hyun, Yang Seo Hyun",WHYNOT MEDIA,#229,,240000,Comedy
229,불가살,"Dec 18, 2021 - Feb 6, 2022",2021,"Netflix, tvN","Saturday, Sunday",16,1 hr. 15 min.,15+ - Teens 15 or older,8.3,"Thriller, Mystery, Drama, Fantasy","Curse, Reincarnation, Revenge, Immortal, Hidden Identity, Dark Fiction, Found Family, Suspense, Grudge, Death",Jang Young Woo,"Seo Jae Won, Kwon So Ra","Lee Jin Wook, Kwon Na Ra, Lee Joon, Gong Seung Yeon, Jung Jin Young, Kim Woo Seok","Studio Dragon, Show Runners",#230,6.30%,210000,Psychological
230,라이어 게임,"Oct 20, 2014 - Nov 25, 2014",2014,tvN,"Monday, Tuesday",12,1 hr. 3 min.,,8.3,"Thriller, Mystery, Psychological, Drama","Naive Female Lead, Debt, Game Show, Swindler Male Lead, Genius Male Lead, Adapted From A Manga, Money-Obsession, Suspense, Nice Female Lead, Gambling",Kim Hong Seon,Ryu Yong Jae,"Lee Sang Yoon, Kim So Eun, Shin Sung Rok, Cha Soo Yeon, Choi Jin Ho, Choi Yoon So","Apollo Pictures, Fantagio",#231,1.30%,110000,Action
231,뿌리깊은 나무,"Oct 5, 2011 - Dec 22, 2011",2011,SBS,"Wednesday, Thursday",24,1 hr. 9 min.,15+ - Teens 15 or older,8.3,"Historical, Mystery, Political","Sejong The Great, Joseon Dynasty, Sword-fight, Revenge, Murder, Martial Arts, Royalty, Secret Organization, Death, Adapted From A Novel","Jang Tae Yoo, Shin Kyung Soo","Kim Young Hyun, Park Sang Yeon","Han Seok Kyu, Jang Hyuk, Shin Se Kyung, Jo Jin Woong, Park Hyuk Kwon, Hyun Woo",iHQ,#232,25.40%,220000,Comedy
232,49일,"Mar 16, 2011 - May 19, 2011",2011,SBS,"Wednesday, Thursday",20,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"Romance, Drama, Melodrama, Supernatural","Coma, Second Chance, Death, Car Accident, Naive Female Lead, Flashback To Past, Depression, Tragic Past, Multiple Mains, Fate","Jo Young Kwang, Park Yong Soon",So Hyun Kyung,"Lee Yo Won, Nam Gyu Ri, Jung Il Woo, Jo Hyun Jae, Bae Soo Bin, Seo Ji Hye",HB Entertainment,#233,10.10%,304,Thriller
233,디데이,"Sep 18, 2015 - Nov 21, 2015",2015,jTBC,"Friday, Saturday",20,1 hr. 5 min.,15+ - Teens 15 or older,8.3,"Romance, Drama, Medical","Disaster, Survival, Natural Disaster, Teamwork, Greed, Earthquake, Hardworking Male Lead, Secret, Corruption, Death",Jang Yong Woo,Hwang Eun Kyung,"Kim Young Kwang, Jung So Min, Ha Seok Jin, Lee Kyung Young, Kim Hye Eun, Yoon Joo Hee",S.M. Culture & Contents,#234,1.90%,110000,Comedy
234,낮과 밤,"Nov 30, 2020 - Jan 19, 2021",2020,tvN,"Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"Thriller, Mystery, Crime, Fantasy","Tragic Past, Psychology, Eccentric Male Lead, Special Power, Teamwork, Child Abuse, Hot-tempered Female Lead, Trauma, Strong Male Lead, Orphan Male Lead","Jo Soo Won, Lee Soo Hyun",Shin Yoo Dam,"Namkoong Min, Kim Seol Hyun, Lee Chung Ah, Yoon Sun Woo, Yoon Gyung Ho, Kim Tae Woo","Kim Jong-hak Production, Story Vine Pictures",#235,6.20%,46000,Action
235,오 마이 비너스,"Nov 16, 2015 - Jan 5, 2016",2015,KBS2,"Monday, Tuesday",16,60 min.,13+ - Teens 13 or older,8.3,"Comedy, Law, Romance, Life","Weight Loss, Makeover, Cohabitation, Body Image, Bromance, Rich Male Lead, Hidden Identity, Hardworking Male Lead, Hardworking Female Lead, Steamy Kiss","Kim Hyoung Seok, Lee Na Jung",Kim Eun Ji,"So Ji Sub, Shin Min Ah, Jung Gyu Woon, Yoo In Young, Sung Hoon, Henry Lau","Mong-jak-so Company, ONDA Entertainment, KBS Media",#236,9.90%,560000,Action
236,레버리지: 사기조작단,"Oct 13, 2019 - Dec 8, 2019",2019,TV Chosun,Sunday,16,60 min.,15+ - Teens 15 or older,8.3,"Action, Mystery, Comedy, Crime","Smart Male Lead, Leadership, Friendship, Street Fight, Corruption, Badass Female Lead, Slight Romance, Female Lead Action Scenes, Strong Female Lead, Nice Male Lead",Nam Ki Hoon,Min Ji Hyung,"Lee Dong Gun, Jeon Hye Bin, Kim Sae Ron, Kim Kwon, Yeo Hoe Hyun, Choi Ja Hye","Production H, HIGROUND, Sony Pictures Television",#237,2.30%,120000,Business
237,연모,"Oct 11, 2021 - Dec 14, 2021",2021,"KBS2, Netflix","Monday, Tuesday",20,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"Historical, Romance, Drama","Cross-Dressing, Joseon Dynasty, Hidden Identity, Cold Female Lead, Gender Bender, First Love, Royalty, Strong Female Lead, Nice Male Lead, Death","Song Hyun Wook, Lee Hyun Suk",Han Hee Jung,"Park Eun Bin, Rowoon, Nam Yoon Su, Choi Byung Chan, Bae Yoon Kyung, Jung Chae Yeon","Story Hunter Production, Monster Union",#238,12.10%,520000,Mystery
238,신사의 품격,"May 26, 2012 - Aug 12, 2012",2012,SBS,"Saturday, Sunday",20,1 hr. 5 min.,15+ - Teens 15 or older,8.3,"Comedy, Romance, Drama, Melodrama","Adult Romance, Bromance, Friendship, Age Gap [Drama Life], Age Gap [Real Life], Male Centered Plot, Dissociative Amnesia, Independent Female Lead, Mental Illness, Love At First Sight","Kwon Hyuk Chan, Shin Woo Cheol, Kim Jung Hyun",Kim Eun Sook,"Jang Dong Gun, Kim Ha Neul, Kim Soo Ro, Kim Min Jong, Lee Jong Hyuk, Yoon Se Ah","Hwa&Dam Pictures, CJ ENM",#239,24.40%,123389,Thriller
239,신입사관 구해령,"Jul 17, 2019 - Sep 26, 2019",2019,"MBC, Netflix","Wednesday, Thursday",40,35 min.,15+ - Teens 15 or older,8.3,"Historical, Comedy, Romance, Drama","Joseon Dynasty, Sismance, Strong Female Lead, Nice Male Lead, Hardworking Female Lead, Calm Female Lead, Power Struggle, Conspiracy, Social Problems, Hidden Past","Kang Il Soo, Han Hyun Hee",Kim Ho Soo,"Shin Se Kyung, Cha Eun Woo, Lee Ji Hoon, Park Ki Woong, Lee Ye Rim, Park Ji Hyun",Chorokbaem Media,#240,7.30%,330000,Thriller
240,커피프린스 1호점,"Jul 2, 2007 - Aug 28, 2007",2007,MBC,"Monday, Tuesday",17,60 min.,15+ - Teens 15 or older,8.3,"Food, Comedy, Romance, Drama","Cross-Dressing, Hidden Identity, Boss-Employee Relationship, Hardworking Female Lead, Strong Female Lead, Bromance, Eccentric Female Lead, Love Square, Gender Bender, Family Pressure",Lee Yoon Jung,"Jang Hyun Joo, Lee Jung Ah","Gong Yoo, Yoon Eun Hye, Lee Sun Kyun, Chae Jung An, Kim Chang Wan, Kim Dong Wook",,#241,27.80%,930000,Comedy
241,유령,"May 30, 2012 - Aug 9, 2012",2012,SBS,"Wednesday, Thursday",20,1 hr. 5 min.,15+ - Teens 15 or older,8.3,"Thriller, Mystery","Smart Male Lead, Hidden Identity, Murder, Investigation, Corruption, Police Department Setting, Detective Fiction, Detective Male Lead, Death, Suspense","Kim Hyung Shik, Park Shin Woo",Kim Eun Hee,"So Ji Sub, Lee Yun Hee, Kwak Do Won, Uhm Ki Joon, Lee Won Keun, Yoon  Ji Hye",HB Entertainment,#242,15.30%,1000,Comedy
